Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,416167815092.908,379629301675.108,395788696012.059,467739079790.332,614659980082.515,695692898676.56,748417562769.636,855007458585.224,1056112427190.38,928762122698.05,1148890200292.42,1398701323029.63,1547649835732.89,1577301840200.01,1468597690006.22,1351768945139.11,1207580901578.72,1326882104817,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,197289625479.906,197508773215.323,214394866675.24,262273631180.054,301457562038.541,316092273276.015,336280064332.411,389185571506.052,432051935642.945,401758735822.211,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444596155845.254,435049316955.737,479295362747.047,470941926750.741
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,5272615722.96892,5707616203.72011,6236087738.28284,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,48851293785.4483,44292427184.9492,52909294791.9262,65952796427.9473,69679944504.1972,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78721058823.5294
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720400000,10395500000,10974800000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000,11527600000,12897400000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000,25710904255.3191,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37802005319.1489,38653318085.1064,34621807712.766,39288670212.766,44383297872.3404
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477779556.785,115279077465.226,128637983882.833,133355820262.925,149990529836.78,172885432686.945,195078573252.202,265236390328.627,293754781336,321379127909.353,351238399005.451,373902197869.16,416264800549.026,460201265527.977
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217450000,4674000000,4785250000,4465500000,4531150000,4656400000,4613850000,4685550000,4707600000,4734000000,4843300000,4992300000,5110250000,5341100000,4738800000,4923100000,5699950000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,12736780455.1539,12354820143.8849,14594900944.7658,17825444724.4878,23141566292.9462,30210091836.8294,36961894281.3444,45275711995.825,60752106347.126,50873167326.0414,57231904542.8755,61762382327.9319,65685890438.8922,75527558966.4473,78812805039.0743,56454889146.6088,47723545321.259,54725302249.8088,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,72793457588.4367
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,483254171097.812,481420882905.001,523330354138.133,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543299066998.902,535865804349.803,526264230147.394,600748812601.541,583435595579.963
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,1134756760.62071,1168127973.94349,1240059540.09348,1303381860.75674,1394273990.60003,1468145956.19917,1584207353.22049,1699214298.91439,1731921564.0667,1681473348.43468,1739070295.44027,1818831938.17757,1899503249.8643,2021757434.18064,2125125606.25723,2194709309.24204,2240593542.9757,2266664817.08822,2292787335.62452,2386792476.10637,2047727810.06777,2424575179.3783,2830507575.6841
